time,temperature_2m_max,temperature_2m_min,precipitation_sum,snowfall_sum,relative_humidity_2m_mean,snow_pixel_count
2014-01-06,-3.8,-9.4,0.6,0.98,73,222643
2014-01-13,-1.0,-2.5,0.0,0.21,68,255351
2014-01-20,-3.0,-4.0,0.1,0.21,65,261407
2014-01-20,-2.7,-3.7,0.2,0.49,65,128478
2014-01-29,1.5,-0.2,2.3,1.68,85,261618
2014-01-29,1.0,-1.0,2.6,1.75,86,237810
2014-01-29,2.0,0.2,3.2,1.96,81,254451
2014-02-07,-0.2,-1.4,0.3,0.91,75,248750
2014-02-23,0.1,-2.2,0.9,1.19,79,257275
2014-02-23,0.5,-1.8,2.0,1.75,78,230414
2014-03-02,-2.1,-5.6,0.8,0.7,54,258526
2014-03-02,-1.6,-4.8,0.8,0.91,54,249757
2014-03-02,-2.5,-6.2,0.4,0.35,53,119414
2014-03-27,-3.8,-11.1,0.1,0.07,79,251752
2014-04-03,-8.2,-9.0,0.7,1.47,61,251789
2014-04-03,-7.6,-8.1,0.3,1.33,63,240920
2014-04-03,-9.1,-9.9,0.2,1.47,58,76788
2014-04-10,2.2,-0.5,3.1,0.77,84,158789
2014-04-10,2.8,-0.2,3.1,0.7,83,90907
2014-04-12,-10.7,-14.1,0.0,0.0,74,262144
2014-04-26,-4.7,-5.7,0.0,0.35,67,167167
2014-04-26,-5.4,-6.3,0.0,0.49,69,224777
2014-04-28,-7.3,-8.6,0.0,0.0,70,178656
2014-04-28,-8.1,-9.3,0.0,0.0,72,242128
2014-05-21,-0.4,-1.9,1.1,1.19,74,203057
2014-05-21,0.4,-0.6,2.2,1.89,75,194835
2014-05-21,-0.9,-3.0,0.5,0.77,73,109606
2014-05-28,2.0,1.1,0.0,0.0,84,87455
2014-06-06,4.3,3.2,0.7,0.0,88,158589
2014-06-06,3.2,2.3,0.0,0.0,90,151901
2014-06-06,2.2,1.6,0.5,0.0,91,51155
2014-06-13,0.6,0.2,0.0,0.07,68,88931
2014-06-13,1.0,0.3,0.0,0.07,67,26826
2014-06-15,-0.2,-1.0,0.0,0.0,70,199934
2014-06-15,-0.2,-0.9,0.0,0.0,72,105821
2014-07-01,2.6,2.2,0.0,0.0,91,176357
2014-07-08,3.4,2.3,0.0,0.0,88,108717
2014-07-08,2.3,1.4,0.0,0.0,91,40665
2014-07-08,2.8,1.7,0.0,0.0,89,71060
2014-07-15,4.8,3.0,0.0,0.0,82,72108
2014-07-24,5.5,4.6,0.7,0.0,98,34675
2014-07-24,6.3,5.6,0.3,0.0,98,96155
2014-07-24,5.7,4.8,0.2,0.0,98,39292
2014-07-31,6.1,5.4,2.5,0.0,95,59102
2014-08-02,5.8,4.2,0.0,0.0,82,17742
2014-08-18,3.0,2.0,4.8,0.07,86,182108
2014-08-18,3.3,2.2,5.0,0.0,85,73404
2014-08-25,4.6,3.7,0.0,0.0,80,38249
2014-08-25,6.6,5.3,0.8,0.0,88,126296
2014-08-25,5.7,4.3,0.6,0.0,84,25529
2014-09-01,5.0,3.3,0.8,0.0,76,66960
2014-09-10,6.7,4.3,5.6,0.0,86,158349
2014-09-10,5.2,2.7,0.7,0.0,90,71216
2014-09-10,5.8,2.7,1.8,0.0,88,94568
2014-09-17,6.4,2.8,1.4,0.0,88,70653
2014-09-19,0.9,-0.6,0.2,0.77,74,196768
2014-09-19,1.0,-0.2,0.1,0.77,75,90386
2014-09-26,4.5,3.7,0.4,0.0,87,50076
2014-09-26,4.0,3.2,0.9,0.0,89,39166
2014-09-26,5.4,4.1,1.4,0.0,85,123040
2014-10-03,5.1,4.5,0.0,0.0,93,65165
2014-10-05,4.3,3.2,0.0,0.0,96,188423
2014-10-05,4.8,3.5,0.2,0.0,96,55291
2014-10-12,-0.1,-2.7,0.1,0.98,66,178915
2014-10-12,-1.3,-4.2,0.0,1.68,63,48526
2014-10-12,-0.7,-3.2,0.1,1.33,65,98720
2014-10-21,1.5,0.2,0.1,0.0,86,129902
